idCentros,Tipo_centro,Nombre,Titularidad,Domicilio,Localidad,Municipio,Provincia
4000560,"Centro Docente Privado","Compañía de María",Concertado,"Rbla.  Obispo Orbera  35",Almería,Almería,Almería
4000511,"Centro Docente Privado","María Inmaculada",Concertado,"C/ Infanta  2",Almería,Almería,Almería
4008674,"Centro de Educación Infantil","La Oca",Privado,"C/ Reyes Católicos  14",Almería,Almería,Almería
4009708,"Centro de Educación Infantil","Little Monkeys",Privado,"C/ Antonio Ledesma  3",Almería,Almería,Almería
4011326,"Centro de Educación Infantil",Emma,Privado,"Rbla. Obispo Orberá  23",Almería,Almería,Almería
4001242,"Escuela de Arte",Almería,Público,"Plaza Pablo Cazard  1",Almería,Almería,Almería
4011065,"Escuela autorizada de Música","Escuela de Música y Artes de Almería",Privado,"Rbla. Obispo Orberá  23",Almería,Almería,Almería
4000584,"Centro Docente Privado","Amor de Dios",Concertado,"C/ Cordoneros  22",Almería,Almería,Almería
4000961,"Centro Docente Privado","Juan Pablo II Mater Asunta",Concertado,"Paseo San Luis  6",Almería,Almería,Almería
4005028,"Centro Docente Privado","Virgen de la Chanca",Concertado,"Avda. del Mar  97",Almería,Almería,Almería
4000602,"Centro Docente Privado","Nuestra Señora del Milagro",Concertado,"Plaza Virgen del Mar  2",Almería,Almería,Almería
4602262,"Centro Docente Privado de Educación Especial","Atención Autismo Almería",Concertado,"C/ José María Acosta  16",Almería,Almería,Almería
4010292,"Centro de Educación Infantil","San Pablo",Privado,"C/ Real  107  local 2 A",Almería,Almería,Almería
4602377,"Centro de Educación Infantil","Estrella del Mar",Privado,"C/ Jarcia  15",Almería,Almería,Almería
4010565,"Centro de Educación Infantil","Los Cinco Lobitos",Privado,"Plaza de Pavía  15  Bajo",Almería,Almería,Almería
4008081,"Centro de Educación Infantil",Trampolín,Privado,"C/ Real  115",Almería,Almería,Almería
4000811,"Colegio de Educación Infantil y Primaria","La Chanca",Público,"Avda. del Mar  s/n",Almería,Almería,Almería
4000808,"Colegio de Educación Infantil y Primaria","Inés Relaño",Público,"C/ General Luque  31",Almería,Almería,Almería
4500763,"Centro de Educación Permanente","La Chanca",Público,"Avda. del Mar s/n. Centro Social Virgen del Mar",Almería,Almería,Almería
4000572,"Centro Docente Privado","San Francisco",Concertado,"Plaza Inmaculada  1",Almería,Almería,Almería
4009034," Escuela Infantil"," Santo angel de la guarda"," Público"," C/ Escalinata 25"," Almería"," Almería"," Almería"
4009927,"Centro de Educación Infantil","Los Franciscanos",Privado,"C/ Rambla Alfareros  48",Almería,Almería,Almería
4005740,"Centro de Educación Infantil","Virgen del Carmen",Privado,"C/ Memorias  17",Almería,Almería,Almería
4010875,"Centro de Educación Infantil","Mil Colores",Privado,"C/ Cámara  2-4",Almería,Almería,Almería
4010930,"Centro de Educación Infantil","La Casa Mágica",Privado,"C/ Maldonado Entrena  14",Almería,Almería,Almería
